sr no ,scheme_id,scheme_name,level,state,department,short_description,gender,min_age,max_age,category,income_ceiling_annual,occupation,business_type,disability_status,other_conditions,benefits_summary,application_process_summary,documents_required,last_verified_date,source_links,verification_status,tier,notes
,,,,,,,,,,,,,,,,,,,,,,,
1,,Micro Credit Finance,Central,All India,National Scheduled Castes Finance and Development Corporation (NSFDC) / Ministry of Social Justice and Empowerment,Loans for small income-generating activities with project/unit cost up to ₹1.40 lakh for eligible Scheduled Caste applicants.,Any,Not Specified,Not Specified,SC,300000,Not Specified,Income-generating activities,Not Specified,"Individual applicant must belong to Scheduled Caste community. Partnership Firms and Co-operative Societies are also eligible, subject to all members belonging to SC and each member's annual family income not exceeding ₹3 lakh.","Loan up to 90% of project cost, maximum ₹1.25 lakh per unit. Project/unit cost up to ₹1.40 lakh. Beneficiary interest rate 6.5% p.a. Repayment in quarterly instalments within maximum 3 years, including 3-month moratorium.","Applicants apply through authorised State Channelizing Agencies (SCAs) or other Channelizing Agencies (CAs), including RRBs, Public Sector Banks and NBFC-MFIs. Applications are scrutinized by the SCA/CA, appraised and processed through the respective agency and NSFDC before disbursement.",Passport-size photograph; Aadhaar Card; Income Certificate; Caste Certificate; Residence Proof; Bank Passbook/Bank Details; any other documents as required.,27-08-2026,https://nsfdc.nic.in/index.php/scheme / https://www.myscheme.gov.in/schemes/mcfnsfdc,Verified,Tier 1,"
Annual family income limit is ₹3 lakh in rural and urban areas, effective from 08-03-2018 according to the myScheme details. Eligibility verification is the responsibility of SCAs/CAs, with NSFDC retaining the right to re-verify."
2,,Aajeevika Micro-Finance Yojana (AMY),Central,All India,National Scheduled Castes Finance and Development Corporation (NSFDC) / Ministry of Social Justice and Empowerment,Prompt and need-based micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs to pursue small or micro business activities.,Any,Not Specified,Not Specified,SC,500000,Not Specified,Small / micro business activities,Not Specified,Applicant must be an eligible Scheduled Caste person. Financial assistance is provided through selected NBFC-MFIs for pursuing small or micro business activities.,"NSFDC provides loan up to 90% of the project cost, with a maximum loan amount of ₹1.25 lakh for projects costing up to ₹1.40 lakh. NSFDC charges 5% interest from NBFC-MFIs, which in turn charge 15% interest from beneficiaries. The loan is repaid in quarterly instalments within a maximum period of three years, including a 3-month moratorium period.",Applicants obtain financial assistance through selected NBFC-MFIs associated with NSFDC. The loan is routed through the NBFC-MFI rather than being provided directly by NSFDC to the beneficiary.,Not Specified,27-08-2026,https://nsfdc.nic.in/index.php/scheme / https://www.dosje.gov.in/schemes-and-services/aajeevika-microfinance-yojana/,Verified,Tier 1,"Official NSFDC source confirms the loan limit, project cost, interest rate and repayment period. The provided sources do not specify age, gender, annual income ceiling or document requirements for AMY, so these fields are not assumed."
3,,Term Loan,Central,All India,National Scheduled Castes Finance and Development Corporation (NSFDC) / Ministry of Social Justice and Empowerment,Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh for eligible Scheduled Caste beneficiaries.,Any,Not Specified,Not Specified,SC,500000,Not Specified,Income-generating activities,Not Specified,The unit/project cost must be more than ₹1.40 lakh and up to ₹50 lakh. NSFDC provides assistance through State Channelizing Agencies (SCAs) and Channelizing Agencies (CAs).,"Term loan assistance up to 90% of the project cost, with a maximum loan amount of more than ₹1.25 lakh and up to ₹45 lakh per unit. The project/unit cost must be more than ₹1.40 lakh and up to ₹50 lakh. Beneficiary interest rate is 8% p.a. Repayment is through quarterly instalments within a maximum period of seven years, including a 6-month moratorium, or 12 months for plantation and construction activities.",Applicants apply through authorised State Channelizing Agencies (SCAs) or Channelizing Agencies (CAs). The agencies scrutinize and appraise the project proposal before forwarding eligible proposals for further processing and sanction by NSFDC.,Not Specified,27-08-2026,https://nsfdc.nic.in/index.php/scheme,Verified,Tier 1,"NSFDC and DoSJE sources confirm the same Term Loan parameters. Project/unit cost is more than ₹1.40 lakh and up to ₹50 lakh; maximum NSFDC loan is more than ₹1.25 lakh and up to ₹45 lakh. Interest charged to beneficiaries is 8% p.a. Repayment is within seven years with a 6-month moratorium, extended to 12 months for plantation and construction activities."
4,,Udyam Nidhi Yojana ,Central,All India,National Scheduled Castes Finance and Development Corporation (NSFDC) / Ministry of Social Justice and Empowerment,"Financial assistance for small and micro activities through Cooperative Societies, Cooperative Banks, and Small Finance Banks.",Any,Not Specified,Not Specified,SC,500000,Not Specified,Small / micro activities,Not Specified,"Loans are provided through Cooperative Societies, Cooperative Banks, and Small Finance Banks (SFBs) to pursue small or micro activities.","Loans are provided for projects/units costing up to ₹5 lakh. NSFDC provides up to 90% of the project cost, with a maximum loan of ₹4.50 lakh. Beneficiary interest rate is 13% through Cooperative Banks/Societies and 15% through Small Finance Banks. Repayment is through quarterly or half-yearly instalments within a maximum period of 5 years, including a 3-month moratorium.","Applicants obtain loans through Cooperative Societies, Cooperative Banks, and Small Finance Banks (SFBs).",Not Specified,27-08-2026,https://nsfdc.nic.in/index.php/scheme,Verified,Tier 1,"Official NSFDC source specifies maximum project cost of ₹5 lakh, maximum loan of ₹4.50 lakh, beneficiary interest rates of 13% through Cooperative Banks/Societies and 15% through Small Finance Banks, and repayment up to 5 years with a 3-month moratorium. Age, income, occupation, disability and document requirements are not specified in the provided source."
5,,Educational Loan Scheme (ELS),Central,All India,National Scheduled Castes Finance and Development Corporation (NSFDC) / Ministry of Social Justice and Empowerment,Educational loans for eligible Scheduled Caste students pursuing regular full-time professional or technical courses in recognized institutions in India or abroad.,Any,Not Specified,Not Specified,SC,300000,Student,Not Applicable,Not Specified,The applicant should be an eligible Scheduled Caste student pursuing a regular full-time professional or technical course approved/recognized by the Government in India or abroad. Courses must be pursued in recognized institutions. Higher education including M.Phil/PhD from recognized institutions is covered.,"Educational loan up to ₹40 lakh or 90% of the course fee, whichever is less. Beneficiary interest rate is 6.5% p.a. For loans where repayment has not started, repayment period is up to 12 years and moratorium is course period plus 1 year. Where repayment has started, repayment period is up to 10 years and moratorium is up to 6 months.","Applicants apply through the District Office of the State Channelizing Agencies (SCAs). The application is scrutinized by the SCA/CA, forwarded to its Head Office, examined and recommended for sanction, then appraised by NSFDC and processed for sanction. After acceptance of sanction terms and fulfilment of required norms, NSFDC disburses funds to the SCA/CA/authorised channel partner, which then disburses the loan to the beneficiary.",Passport-size photograph; Aadhaar Card; Income Certificate; Caste Certificate; Residence Proof; Valid Passport for study abroad; Valid Visa/Permit if applicable for study abroad; Educational Qualification Certificates; Admission Confirmation from educational institute with yearly fee and other charges payment schedule; Institute Identity Card if admission has already taken; Any other documents as required.,27-08-2026,https://nsfdc.nic.in/index.php/scheme / https://www.myscheme.gov.in/schemes/els-nsfdc,Verified,Tier 1,Applicant must be a Scheduled Caste student pursuing a regular full-time Professional or Technical course in a recognized institution in India or abroad. Annual family income must be less than ₹3 lakh in rural and urban areas. Education loan is provided as one-time assistance. Study-abroad applicants require valid passport and visa/permit where applicable.
6,,Credit Enhancement Guarantee Scheme for Scheduled Castes (CEGSSC),Central,All India,Ministry of Social Justice and Empowerment / IFCI Ltd.,"Credit guarantee support for eligible Scheduled Caste entrepreneurs to facilitate access to working capital, term loans or composite term loans through Member Lending Institutions.",Any,Not Specified,Not Specified,SC,Not Specified,Entrepreneur,Primary / Manufacturing / Service,Not Specified,"The enterprise must be promoted/run by Scheduled Caste entrepreneurs. Registered companies, registered partnership firms and registered societies must have more than 51% Scheduled Caste shareholding/membership with management control for at least the past 6 months. Sole proprietorship firms and individual SC entrepreneurs are eligible. SC promoters/partners/members must not dilute their stake below 51% during the currency of the loan. The credit facility must be without collateral security and/or third-party guarantee and must satisfy the scheme's eligibility conditions.","Credit guarantee cover is available for working capital loans, term loans and composite term loans. Individual SC entrepreneurs are eligible for guarantee cover on loan amounts up to ₹1 crore. The scheme provides guarantee cover according to the sanctioned loan amount: 100% for ₹0.15–₹1 crore, 80% for ₹1–₹2 crore, 70% for ₹2–₹5 crore and 60% for amounts above ₹5 crore, subject to the applicable maximum guarantee cover. The maximum guarantee amount under the scheme is ₹5 crore. Guarantee tenure is up to 7 years or the repayment period, whichever is earlier.","The entrepreneur approaches a Member Lending Institution (MLI) for the required credit facility. The MLI evaluates and sanctions the loan using its normal banking due diligence. After agreeing in principle to extend the loan, the MLI registers the loan application with IFCI for guarantee coverage and receives an acknowledgement number. The MLI submits the sanction letter, proof of disbursement and applicable guarantee fee to IFCI, after which the guarantee is issued subject to scheme conditions.","Documentary proof of Scheduled Caste status is mandatory for the entrepreneurs, promoters, partners, society members, sole proprietorship firms or individual SC entrepreneur at the time of submitting the proposal. Other loan and business documents may be required by the concerned Member Lending Institution.",27-08-2026,https://www.ifcicegssc.in/Default/ViewFile/?id=Scheme_Details-English_2018.pdf&path=DownloadForms,Verified,Tier 1,"CEGSSC is a credit guarantee scheme rather than a direct loan scheme. IFCI provides guarantee cover to Member Lending Institutions financing eligible SC entrepreneurs. Covered facilities include working capital loans, term loans and composite term loans. Individual SC entrepreneurs can receive guarantee cover for loan amounts up to ₹1 crore, while the overall maximum guarantee cover under the scheme is ₹5 crore. No collateral security and/or third-party guarantee is permitted for the covered credit facility. Income and age limits are not specified in the provided guidelines."
7,,Vocational Education and Training Loan Scheme,Central,All India,National Safai Karamcharis Finance and Development Corporation (NSKFDC) / Ministry of Social Justice and Empowerment,"Financial assistance to eligible youth of the NSKFDC target group for pursuing vocational education and training courses to improve skills, employability and self-reliance.",Any,18,50,GENERAL/SC/ST/OBC,Not Specified,Not Specified,Not Applicable,Not Specified,"Applicant must belong to the NSKFDC target group and must have secured admission in an eligible vocational education or training course. The course must be run or supported by a Government Ministry, Department or Organisation, or by an organisation supported by NSDC or State Skill Missions/State Skill Corporations. Course duration must be a minimum of 6 months and up to 2 years and should preferably lead to a recognized Certificate, Diploma or Degree. Candidate must attain at least 18 years of age on completion of the course.","Need-based finance up to 90% of course expenses, subject to a maximum loan of ₹4 lakh for courses of duration up to 2 years. Interest charged to the Channelizing Agency is 1% p.a., while beneficiaries are charged 4% p.a. Women receive an interest rebate of 0.5%. Repayment period is up to 7 years. Any cost overrun is borne by the beneficiary.","Applicants apply online through the official NSKFDC website. They access the How to Apply section, open the Loan Application Form, fill in the required details and save the application form.",Aadhaar Card; Driving License; Bank Details; Caste Certificate; Income Certificate; Domicile Certificate,27-08-2026,https://www.myscheme.gov.in/schemes/vetls,Verified,Tier 1,"Course duration must be between 6 months and 2 years. Maximum loan is ₹4 lakh for courses up to 2 years and assistance covers up to 90% of course expenses. Beneficiary interest rate is 4% p.a., with a 0.5% rebate for women. Repayment is up to 7 years. Upper age limit is 50 years and candidate must attain minimum age of 18 years on completion of the course. Income ceiling is not specified in the provided source."
8,,Green Business Scheme (GBS),Central,All India,National Safai Karamcharis Finance and Development Corporation (NSKFDC) / Ministry of Social Justice and Empowerment,"Financial assistance in the form of loans for income-generating activities that can mitigate the impacts of climate change, including battery electric vehicles, compressed air vehicles, solar energy gadgets and poly houses.",Any,Not Specified,Not Specified,GENERAL/SC/ST/OBC,Not Specified,Not Specified,Green income-generating activities,Not Specified,"Safai Karamcharis, Scavengers and their Dependents are eligible. The activities should be income-generating and should mitigate the Green House effect or be classified as climate-change adaptation initiatives. Indicative activities include Battery Electric Vehicles (E-rickshaws), Compressed Air Vehicles, Solar Energy Gadgets and Poly Houses.","Need-based loans are provided for eligible green income-generating activities. The source states an initial quantum of 90% of unit cost with a maximum of ₹2 lakh, while the benefits table specifies loan limits of ₹6.75 lakh for unit costs up to ₹7.50 lakh, ₹13.50 lakh for unit costs above ₹7.50 lakh and up to ₹15 lakh, and ₹27 lakh for unit costs above ₹15 lakh and up to ₹30 lakh. Interest rates to beneficiaries are 4%, 6% and 7% respectively. Repayment is through quarterly instalments within a maximum period of 10 years including a 6-month moratorium. Promoter contribution is 10% of unit cost.","Beneficiaries submit loan applications to District Offices of State Channelizing Agencies (SCAs), branches of Regional Rural Banks (RRBs), and Nationalised Banks. Applications are scrutinized and forwarded to the respective Head Offices. The viability of project proposals is appraised by the SCAs/RRBs/Nationalised Banks and viable proposals are sent to the concerned corporation along with recommendations.",Aadhaar Card; Driving License; Bank Details; Caste Certificate; Income Certificate; Domicile Certificate,27-08-2026,https://www.myscheme.gov.in/hi/schemes/gbs,Needs Review,Tier 1,"Source contains inconsistencies requiring verification before final production use. The description identifies the scheme as launched by NSFDC, while the eligibility and application sections refer to NSKFDC, Safai Karamcharis, Scavengers and their Dependents, and NSKFDC channelising agencies. The source also states a maximum loan of ₹2 lakh in the initial quantum section, while the benefits table specifies maximum loan limits of ₹6.75 lakh, ₹13.50 lakh and ₹27 lakh for different unit-cost ranges up to ₹30 lakh. Interest rates are 4%, 6% and 7% for beneficiaries under the respective ranges. Verify the latest official scheme document before marking the scheme as Verified."
9,,Mahila Samriddhi Yojana (MSY),Central,All India,National Backward Classes Finance and Development Corporation (NBCFDC) / Ministry of Social Justice and Empowerment,"Microfinance assistance for women from low-income families and notified backward classes to start businesses or pursue income-generating activities, including support through Self-Help Groups (SHGs).",Female,18,55,ST/SC/OBC,300000,Entrepreneur / Self-employment,Income-generating activities / Micro business,Not Specified,"Applicant must be a woman aged 18 to 55 years. Applicant should belong to a low-income family or SC/ST/OBC category as notified by the Central/State Government, with annual family income below ₹3 lakh. The applicant should be looking to start a business or engage in income-generating activities. The scheme may provide assistance directly or through Self-Help Groups (SHGs).","Microfinance assistance up to ₹1.40 lakh is provided. The scheme provides a rebate in interest for women beneficiaries. Loans are repaid within 3.5 years in quarterly instalments from the date of each disbursement, including the moratorium period. Eligible beneficiaries who repay loans under MSY through the concerned SCA can subsequently avail of loans under NSFDC schemes.","Applicants apply through NSFDC or the relevant State Government portal and submit the required application form and documents. Applications are processed through State Channelizing Agencies (SCAs) or other authorised Channelizing Agencies such as Regional Rural Banks, Public Sector Banks and NBFC-MFIs. The agencies scrutinize and forward eligible applications for further processing, sanction and disbursement.",Address Proof; Identity Proof; SHG Membership ID; Caste Certificate if applicable; Income Certificate from a competent authority; Aadhaar Card; Bank Account Details; Recent Passport-size Photographs,27-08-2026,https://www.myscheme.gov.in/schemes/cbssc-msy,Needs Review,Tier 1,"Source describes MSY as a women-focused microfinance scheme under NBCFDC. Eligibility states women aged 18–55 with annual family income below ₹3 lakh, including women from SC/ST/OBC categories as notified by the Central/State Government. The source also refers to low-income women and SHGs. The provided source does not specify the exact interest rate or promoter contribution. Verify the current official scheme details before final production use."
